tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2025-07-16 7:22:35,DataShades/ckanext-metaexport,https://github.com/DataShades/ckanext-metaexport,3,0,No releases,No releases,0,1,7,FALSE
2025-07-16 7:11:00,DataShades/ckanext-metatags,https://github.com/DataShades/ckanext-metatags,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:17:45,DataShades/ckanext-msal,https://github.com/DataShades/ckanext-msal,2,0,No releases,No releases,1,1,3,FALSE
2025-07-16 7:01:36,DataShades/ckanext-nswdesignsystem,https://github.com/DataShades/ckanext-nswdesignsystem,1,0,No releases,No releases,2,0,3,FALSE
2025-07-16 7:27:25,DataShades/ckanext-oidc-pkce,https://github.com/DataShades/ckanext-oidc-pkce,7,0,No releases,No releases,4,2,6,FALSE
2025-07-16 7:05:44,DataShades/ckanext-ondc,https://github.com/DataShades/ckanext-ondc,0,0,No releases,No releases,0,0,3,FALSE
2025-07-16 6:56:11,DataShades/ckanext-or_facet,https://github.com/DataShades/ckanext-or_facet,1,0,No releases,No releases,0,0,2,FALSE
2025-07-16 6:55:25,DataShades/ckanext-permissions,https://github.com/DataShades/ckanext-permissions,1,0,No releases,No releases,3,1,2,FALSE
2025-07-16 6:55:30,DataShades/ckanext-pygments,https://github.com/DataShades/ckanext-pygments,0,0,No releases,No releases,1,0,1,FALSE
2025-07-16 7:21:48,DataShades/ckanext-recaptcha,https://github.com/DataShades/ckanext-recaptcha,3,0,No releases,No releases,0,1,1,FALSE
2025-07-16 6:56:15,DataShades/ckanext-resource_indexer,https://github.com/DataShades/ckanext-resource_indexer,1,0,No releases,No releases,1,0,2,FALSE
2025-07-16 6:55:27,DataShades/ckanext-s3-exporter,https://github.com/DataShades/ckanext-s3-exporter,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:01:22,DataShades/ckanext-saml,https://github.com/DataShades/ckanext-saml,1,0,No releases,No releases,4,0,4,FALSE
2025-07-16 6:55:13,DataShades/ckanext-scss,https://github.com/DataShades/ckanext-scss,1,0,No releases,No releases,1,0,1,FALSE
2025-07-16 6:55:47,DataShades/ckanext-search-preset,https://github.com/DataShades/ckanext-search-preset,1,0,No releases,No releases,1,0,1,FALSE
2025-07-16 6:55:42,DataShades/ckanext-search-schema,https://github.com/DataShades/ckanext-search-schema,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:21:24,DataShades/ckanext-search-tweaks,https://github.com/DataShades/ckanext-search-tweaks,3,1,v0.2.6,2021-06-30,2,0,3,FALSE
2025-07-16 7:22:14,DataShades/ckanext-searchfed,https://github.com/DataShades/ckanext-searchfed,3,0,No releases,No releases,0,0,7,FALSE
2025-07-16 6:57:43,DataShades/ckanext-selfinfo,https://github.com/DataShades/ckanext-selfinfo,5,4,v1.2.1,2025-06-07,12,4,3,FALSE
2025-07-16 6:55:53,DataShades/ckanext-shopping-cart,https://github.com/DataShades/ckanext-shopping-cart,1,0,No releases,No releases,1,0,1,FALSE
2025-07-16 6:55:15,DataShades/ckanext-sk-demo,https://github.com/DataShades/ckanext-sk-demo,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:55:19,DataShades/ckanext-snap,https://github.com/DataShades/ckanext-snap,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:56:21,DataShades/ckanext-statsresources,https://github.com/DataShades/ckanext-statsresources,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:19:12,DataShades/ckanext-textcaptcha,https://github.com/DataShades/ckanext-textcaptcha,2,0,No releases,No releases,0,0,2,FALSE
2025-07-16 7:01:33,DataShades/ckanext-thumbnailer,https://github.com/DataShades/ckanext-thumbnailer,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:05:24,DataShades/ckanext-toolbelt,https://github.com/DataShades/ckanext-toolbelt,0,0,No releases,No releases,1,1,1,FALSE
2025-07-16 6:55:34,DataShades/ckanext-tour,https://github.com/DataShades/ckanext-tour,1,0,No releases,No releases,1,2,2,FALSE
2025-07-16 6:55:56,DataShades/ckanext-transmute,https://github.com/DataShades/ckanext-transmute,1,0,No releases,No releases,1,0,2,FALSE
2025-07-16 7:02:43,DataShades/ckanext-twitterview,https://github.com/DataShades/ckanext-twitterview,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:14:06,DataShades/ckanext-unfold,https://github.com/DataShades/ckanext-unfold,1,0,No releases,No releases,5,1,2,FALSE
2025-07-16 6:55:45,DataShades/ckanext-vip-portal,https://github.com/DataShades/ckanext-vip-portal,1,0,No releases,No releases,1,0,2,FALSE
2025-07-16 7:28:23,DataShades/ckanext-workflow,https://github.com/DataShades/ckanext-workflow,7,0,No releases,No releases,2,0,1,FALSE
2025-07-16 7:05:32,DataShades/ckanext-wysiwyg,https://github.com/DataShades/ckanext-wysiwyg,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:13:45,DataSpace-Mobility/ckanext-dataspace,https://github.com/DataSpace-Mobility/ckanext-dataspace,1,0,No releases,No releases,2,3,1,FALSE
2025-07-16 7:01:50,Drexel-UHC/ckanext-pagessearch,https://github.com/Drexel-UHC/ckanext-pagessearch,0,1,1.0.0,2023-06-01,0,0,1,FALSE
2025-07-16 7:26:57,EUDAT-B2FIND/ckanext-b2find,https://github.com/EUDAT-B2FIND/ckanext-b2find,4,6,v3.1.0,2025-06-30,5,1,6,FALSE
2025-07-16 7:30:35,EUDAT-B2FIND/ckanext-datesearch,https://github.com/EUDAT-B2FIND/ckanext-datesearch,13,0,No releases,No releases,4,1,2,FALSE
2025-07-16 7:24:43,EUDAT-B2FIND/ckanext-oaipmh-server,https://github.com/EUDAT-B2FIND/ckanext-oaipmh-server,5,1,v1.0.0,2025-06-30,3,1,12,FALSE
2025-07-16 7:24:05,EUDAT-B2FIND/ckanext-timeline,https://github.com/EUDAT-B2FIND/ckanext-timeline,4,0,No releases,No releases,1,0,3,FALSE
2025-07-16 7:26:23,Edouard-Legoupil/ckanext-unhcr,https://github.com/Edouard-Legoupil/ckanext-unhcr,6,0,No releases,No releases,1,0,4,FALSE
2025-07-16 7:02:32,ElixirTeSS/ckanext-tess,https://github.com/ElixirTeSS/ckanext-tess,0,0,No releases,No releases,1,0,3,FALSE
2025-07-16 7:02:25,ElixirTeSS/ckanext-tessrelations,https://github.com/ElixirTeSS/ckanext-tessrelations,0,0,No releases,No releases,0,0,2,FALSE
2025-07-16 7:18:41,Engerrs/ckanext-spatialingestor,https://github.com/Engerrs/ckanext-spatialingestor,2,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:32:20,EnviDat/ckanext-composite,https://github.com/EnviDat/ckanext-composite,20,0,No releases,No releases,5,2,5,FALSE
2025-07-16 7:14:43,EnviDat/ckanext-envidat_schema,https://github.com/EnviDat/ckanext-envidat_schema,1,0,No releases,No releases,3,0,1,FALSE
2025-07-16 7:15:52,EnviDat/ckanext-envidat_theme,https://github.com/EnviDat/ckanext-envidat_theme,0,0,No releases,No releases,4,0,2,FALSE
2025-07-16 7:12:09,EnviDat/ckanext-package_converter,https://github.com/EnviDat/ckanext-package_converter,1,1,v1.0.0,2017-07-14,2,0,3,FALSE
2025-07-16 7:14:11,EnviDat/ckanext-passwordless,https://github.com/EnviDat/ckanext-passwordless,0,0,No releases,No releases,2,0,2,FALSE
2025-07-16 7:12:07,EnviDat/ckanext-passwordless_api,https://github.com/EnviDat/ckanext-passwordless_api,0,0,No releases,No releases,2,0,1,FALSE
2025-07-16 7:32:43,EnviDat/ckanext-restricted,https://github.com/EnviDat/ckanext-restricted,27,2,0.0.4,2017-09-05,8,4,4,FALSE
2025-07-16 7:10:51,GSA/ckanext-collections,https://github.com/GSA/ckanext-collections,0,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:19:26,GSA/ckanext-datagovcatalog,https://github.com/GSA/ckanext-datagovcatalog,4,0,No releases,No releases,0,1,9,FALSE
2025-07-16 7:32:58,GSA/ckanext-datagovtheme,https://github.com/GSA/ckanext-datagovtheme,24,0,No releases,No releases,21,2,24,FALSE
2025-07-16 7:28:32,GSA/ckanext-dcat_usmetadata,https://github.com/GSA/ckanext-dcat_usmetadata,8,0,No releases,No releases,4,18,20,FALSE
2025-07-16 7:25:21,GSA/ckanext-extlink,https://github.com/GSA/ckanext-extlink,4,0,No releases,No releases,3,0,1,FALSE
2025-07-16 7:33:40,GSA/ckanext-geodatagov,https://github.com/GSA/ckanext-geodatagov,47,0,No releases,No releases,41,17,30,FALSE
2025-07-16 7:26:28,GSA/ckanext-googleanalyticsbasic,https://github.com/GSA/ckanext-googleanalyticsbasic,5,1,Release1.27,2015-03-16,1,0,8,FALSE
2025-07-16 6:52:37,GSA/ckanext-metrics_dashboard,https://github.com/GSA/ckanext-metrics_dashboard,3,0,No releases,No releases,1,0,6,FALSE
2025-07-16 6:52:40,GSA/ckanext-react_usmetadata,https://github.com/GSA/ckanext-react_usmetadata,3,0,No releases,No releases,0,1,1,FALSE
2025-07-16 7:32:08,GSA/ckanext-saml2,https://github.com/GSA/ckanext-saml2,35,0,No releases,No releases,2,6,13,FALSE
2025-07-16 6:51:13,GSA/ckanext-usmetadata,https://github.com/GSA/ckanext-usmetadata,26,7,Release1.30,2015-06-16,25,1,15,FALSE
2025-07-16 7:06:04,GeoinformationSystems/ckanext-klimakonform,https://github.com/GeoinformationSystems/ckanext-klimakonform,1,0,No releases,No releases,0,0,3,FALSE
2025-07-16 7:31:49,GovDataOfficial/ckanext-dcatde,https://github.com/GovDataOfficial/ckanext-dcatde,12,50,6.9.0,2025-03-24,11,11,3,FALSE
2025-07-16 7:09:09,GovDataOfficial/ckanext-searchindexhook,https://github.com/GovDataOfficial/ckanext-searchindexhook,1,18,6.7.0,2024-03-25,1,0,3,FALSE
2025-07-16 7:07:53,HELIX-GR/ckanext-helixtheme,https://github.com/HELIX-GR/ckanext-helixtheme,0,0,No releases,No releases,0,0,2,FALSE
2025-07-16 7:33:42,HHS/ckanext-datajson,https://github.com/HHS/ckanext-datajson,81,1,v0.1,2014-11-14,19,7,5,FALSE
2025-07-16 7:23:24,Helsingin-kaupungin-tietokeskus/ckanext-hrifi,https://github.com/Helsingin-kaupungin-tietokeskus/ckanext-hrifi,2,0,No releases,No releases,4,0,0,FALSE
2025-07-16 7:23:53,Helsingin-kaupungin-tietokeskus/ckanext-multiedit,https://github.com/Helsingin-kaupungin-tietokeskus/ckanext-multiedit,3,0,No releases,No releases,1,1,0,FALSE
2025-07-16 7:08:16,Honlan/ckanext-mytheme,https://github.com/Honlan/ckanext-mytheme,0,0,No releases,No releases,1,0,1,FALSE
2025-07-16 7:30:10,IATI/ckanext-iati,https://github.com/IATI/ckanext-iati,6,6,v1.1.9,2018-03-26,10,51,34,FALSE
2025-07-16 7:03:52,JVickery-TBS/ckanext-development,https://github.com/JVickery-TBS/ckanext-development,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:01:41,JoNoteJoMaMa/ckanext-statscharts,https://github.com/JoNoteJoMaMa/ckanext-statscharts,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:05:34,L-Har/ckanext-wms,https://github.com/L-Har/ckanext-wms,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:11:58,LeeDongHoon/ckanextcustomfields,https://github.com/LeeDongHoon/ckanextcustomfields,0,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:04:16,MandanaMoshref/ckanext-userautoaddgroup,https://github.com/MandanaMoshref/ckanext-userautoaddgroup,1,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:06:08,MartinHowitt/ckanext-gdl,https://github.com/MartinHowitt/ckanext-gdl,0,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:07:11,Mat-O-Lab/ckanext-chat,https://github.com/Mat-O-Lab/ckanext-chat,1,7,v0.1.6-alpha,2025-07-15,11,0,1,FALSE
2025-07-16 7:07:13,Mat-O-Lab/ckanext-csvtocsvw,https://github.com/Mat-O-Lab/ckanext-csvtocsvw,0,3,v1.0.3,2025-05-13,0,1,1,FALSE
2025-07-16 7:05:28,Mat-O-Lab/ckanext-csvwmapandtransform,https://github.com/Mat-O-Lab/ckanext-csvwmapandtransform,1,3,v1.0.2,2025-05-14,1,0,1,FALSE
2025-07-16 7:09:04,Mazen-B/ckanext-gitimport,https://github.com/Mazen-B/ckanext-gitimport,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:09:20,MrMedAli/ckanext-long,https://github.com/MrMedAli/ckanext-long,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:09:38,N-Krenn/ckanext-linkorgs,https://github.com/N-Krenn/ckanext-linkorgs,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:03:54,Nateem/ckanext-reqform,https://github.com/Nateem/ckanext-reqform,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:03:37,NaturalHistoryMuseum/ckanext-attribution,https://github.com/NaturalHistoryMuseum/ckanext-attribution,0,25,v1.2.14,2025-06-09,0,6,3,FALSE
2025-07-16 7:27:02,NaturalHistoryMuseum/ckanext-ckanpackager,https://github.com/NaturalHistoryMuseum/ckanext-ckanpackager,3,23,v3.0.0,2023-07-18,6,0,5,FALSE
